Time,ProxyName,TxnID,GTid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,uri
5/30/2018 0:50,TaxBreakoutServiceV001,1729598557,1729598557,0,1,0,1,1,0,0,64,65,64,65,65,0,65,1,1,/taxbreakout
5/30/2018 0:51,TaxBreakoutServiceV001,1820323543,1820323543,0,1,0,1,1,0,0,153,153,153,153,153,0,153,1,1,/taxbreakout
5/30/2018 0:52,TaxBreakoutServiceV001,1430292713,1430292713,0,1,0,1,1,1,1,58,58,58,58,58,0,58,1,1,/taxbreakout
5/30/2018 0:53,TaxBreakoutServiceV001,1820724855,1820724855,0,1,0,0,1,0,0,62,63,62,63,63,0,63,0,1,/taxbreakout
5/30/2018 0:53,TaxBreakoutServiceV001,1820724887,1820724887,0,1,0,1,1,0,0,82,82,82,82,82,0,82,1,1,/taxbreakout
5/30/2018 0:53,GetInformationalMessageV001,4230705407,4230705407,0,1,0,1,1,0,0,7,7,7,7,7,0,7,1,1,/getinformationmessage
5/30/2018 0:54,TaxBreakoutServiceV001,4231074783,4231074783,0,1,0,1,1,0,0,70,71,70,71,71,0,70,1,1,/taxbreakout
5/30/2018 0:57,TaxBreakoutServiceV001,4231603231,4231603231,0,1,0,1,1,1,1,55,56,55,56,56,0,56,1,1,/taxbreakout
5/30/2018 0:57,TaxBreakoutServiceV001,4231603215,4231603215,0,0,0,0,1,0,0,65,66,65,66,66,0,66,0,0,/taxbreakout
5/30/2018 0:58,TaxBreakoutServiceV001,1821916599,1821916599,0,1,0,1,1,1,1,65,65,65,65,66,0,65,1,1,/taxbreakout
5/30/2018 0:58,TaxBreakoutServiceV001,1730919773,1730919773,0,1,0,1,1,0,0,76,77,76,77,77,0,76,1,1,/taxbreakout
5/30/2018 1:01,TaxBreakoutServiceV001,1731223581,1731223581,0,1,0,1,1,0,0,257,257,257,257,257,0,257,1,1,/taxbreakout
5/30/2018 1:06,TaxBreakoutServiceV001,4234353615,4234353615,0,0,0,0,1,0,0,59,59,59,59,59,0,59,0,0,/taxbreakout
5/30/2018 1:06,TaxBreakoutServiceV001,4234353599,4234353599,0,1,0,1,1,1,1,1936,1937,1936,1937,1937,0,1936,1,1,/taxbreakout
5/30/2018 1:08,TaxBreakoutServiceV001,1431878841,1431878841,0,1,0,1,2,1,1,138,138,138,138,138,0,138,1,1,/taxbreakout
